ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008800,M,N,Y,1,137850.8,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23715,365243,1,1,0,0,Private service staff,2.0
5008801,F,N,Y,0,72584.7,Working,Higher education,Married,House / apartment,-9398,-5459,1,0,0,0,nan,2.0
5008802,F,Y,Y,0,88554.7,Pensioner,Secondary / secondary special,Married,House / apartment,-15758,365243,1,0,0,0,Waiters/barmen staff,2.0
5008803,F,N,Y,2,148185.1,Pensioner,Secondary / secondary special,Married,House / apartment,-17315,365243,1,1,1,0,Medicine staff,3.0
5008804,M,N,N,4,237286.0,Working,Higher education,Single / not married,House / apartment,-23167,-5237,1,0,0,1,nan,6.0
5008805,M,Y,Y,0,129183.9,Working,Incomplete higher,Married,House / apartment,-21059,-3067,1,1,1,0,Laborers,1.0
5008806,M,N,Y,1,105529.1,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16978,-4039,1,0,1,0,Managers,3.0
5008807,F,Y,Y,0,76252.2,Pensioner,Academic degree,Single / not married,House / apartment,-15545,365243,1,0,0,0,Cleaning staff,2.0
5008808,F,N,Y,0,59557.6,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-16009,-8958,1,1,0,0,Accountants,2.0
5008809,F,Y,Y,0,171920.8,Pensioner,Secondary / secondary special,Separated,Office apartment,-23563,365243,1,0,0,0,Realty agents,2.0
5008810,M,N,Y,0,91425.1,Commercial associate,Higher education,Separated,House / apartment,-8617,-8567,1,0,1,0,Laborers,1.0
5008811,F,N,Y,2,175492.5,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9995,-10224,1,0,1,0,High skill tech staff,4.0
5008812,F,N,Y,0,83719.2,Working,Incomplete higher,Married,House / apartment,-19092,-3358,1,0,0,0,nan,2.0
5008813,M,Y,N,1,71350.2,Working,Higher education,Separated,House / apartment,-23530,-785,1,0,0,0,Cooking staff,3.0
