ID,MONTHS_BALANCE,STATUS
5008800,0,X
5008800,-1,C
5008800,-2,C
5008800,-3,X
5008800,-4,C
5008800,-5,C
5008800,-6,C
5008800,-7,0
5008800,-8,X
5008800,-9,C
5008800,-10,C
5008800,-11,C
5008800,-12,C
5008800,-13,1
5008800,-14,C
5008800,-15,C
5008800,-16,X
5008800,-17,0
5008801,0,C
5008801,-1,C
5008801,-2,X
5008801,-3,1
5008801,-4,C
5008801,-5,X
5008801,-6,C
5008801,-7,C
5008801,-8,2
5008802,0,X
5008802,-1,C
5008802,-2,X
5008802,-3,C
5008802,-4,C
5008802,-5,0
5008802,-6,C
5008802,-7,C
5008802,-8,X
5008802,-9,C
5008802,-10,0
5008802,-11,C
5008802,-12,C
5008802,-13,X
5008802,-14,C
5008802,-15,C
5008802,-16,X
5008803,0,X
5008803,-1,C
5008803,-2,C
5008803,-3,C
5008803,-4,X
5008803,-5,0
5008803,-6,C
5008803,-7,X
5008803,-8,C
5008804,0,C
5008804,-1,C
5008804,-2,1
5008804,-3,X
5008804,-4,C
5008804,-5,C
5008804,-6,C
5008804,-7,1
5008804,-8,C
5008804,-9,C
5008804,-10,0
5008804,-11,C
5008804,-12,X
5008804,-13,C
5008805,0,X
5008805,-1,0
5008805,-2,X
5008805,-3,X
5008805,-4,C
5008805,-5,C
5008805,-6,C
5008805,-7,3
5008805,-8,X
5008805,-9,C
5008805,-10,0
5008805,-11,C
5008806,0,C
5008806,-1,C
5008806,-2,X
5008806,-3,C
5008806,-4,X
5008806,-5,C
5008806,-6,1
5008806,-7,C
5008806,-8,C
5008806,-9,C
5008806,-10,0
5008806,-11,X
5008806,-12,X
5008806,-13,0
5008806,-14,X
5008806,-15,C
5008806,-16,C
5008806,-17,C
5008806,-18,X
5008807,0,C
5008807,-1,C
5008807,-2,0
5008807,-3,X
5008807,-4,C
5008807,-5,C
5008807,-6,1
5008807,-7,C
5008807,-8,0
5008807,-9,X
5008807,-10,C
5008807,-11,X
5008807,-12,C
5008807,-13,C
5008807,-14,1
5008807,-15,C
5008807,-16,C
5008807,-17,C
5008808,0,C
5008808,-1,0
5008808,-2,0
5008808,-3,X
5008808,-4,C
5008808,-5,X
5008808,-6,C
5008808,-7,C
5008808,-8,C
5008808,-9,C
5008808,-10,C
5008808,-11,0
5008808,-12,X
5008808,-13,C
5008808,-14,1
5008809,0,0
5008809,-1,X
5008809,-2,X
5008809,-3,X
5008809,-4,X
5008809,-5,C
5008809,-6,X
5008809,-7,C
5008809,-8,X
5008810,0,C
5008810,-1,C
5008810,-2,C
5008810,-3,1
5008810,-4,C
5008810,-5,X
5008810,-6,X
5008810,-7,X
5008810,-8,X
5008810,-9,C
5008810,-10,C
5008811,0,5
5008811,-1,X
5008811,-2,0
5008811,-3,3
5008811,-4,X
5008811,-5,C
5008811,-6,X
5008811,-7,X
5008811,-8,C
5008812,0,C
5008812,-1,0
5008812,-2,X
5008812,-3,C
5008812,-4,C
5008812,-5,C
5008812,-6,X
5008812,-7,0
5008813,0,X
5008813,-1,X
5008813,-2,1
5008813,-3,C
5008813,-4,C
5008813,-5,C
5008813,-6,X
5008813,-7,X
5008813,-8,X
5008813,-9,C
5008813,-10,X
5008813,-11,X
5008813,-12,0
5008813,-13,X
5008813,-14,C
5008813,-15,C
5008813,-16,C
5008813,-17,C
5008813,-18,C
5008813,-19,C
5008813,-20,X
5008814,0,C
5008814,-1,1
5008814,-2,X
5008814,-3,C
5008814,-4,X
5008814,-5,C
5008814,-6,C
5008815,0,C
5008815,-1,C
5008815,-2,C
5008815,-3,C
5008815,-4,X
5008815,-5,C
5008815,-6,C
5008815,-7,C
5008815,-8,X
5008815,-9,X
5008815,-10,X
5008815,-11,C
5008815,-12,C
5008815,-13,0
5008815,-14,C
5008815,-15,0
5008815,-16,X
5008815,-17,0
5008815,-18,X
5008815,-19,C
5008815,-20,C
5008815,-21,X
5008815,-22,C
5008815,-23,C
5008816,0,C
5008816,-1,X
5008816,-2,C
5008816,-3,0
5008816,-4,C
5008816,-5,C
5008816,-6,X
5008816,-7,C
5008817,0,X
5008817,-1,C
5008817,-2,C
5008817,-3,C
5008817,-4,C
5008817,-5,C
5008817,-6,X
5008817,-7,X
5008817,-8,C
5008817,-9,C
5008817,-10,C
5008818,0,X
5008818,-1,C
5008818,-2,C
5008818,-3,0
5008818,-4,C
5008818,-5,X
5008818,-6,X
5008818,-7,X
5008818,-8,X
5008818,-9,C
5008818,-10,C
5008818,-11,C
5008818,-12,C
5008818,-13,C
5008818,-14,C
5008818,-15,X
5008818,-16,X
5008819,0,C
5008819,-1,X
5008819,-2,C
5008819,-3,1
5008819,-4,X
5008819,-5,X
5008819,-6,C
5008819,-7,X
5008819,-8,C
5008819,-9,C
5008819,-10,C
5008819,-11,C
5008819,-12,1
5008820,0,X
5008820,-1,0
5008820,-2,C
5008820,-3,C
5008820,-4,C
5008820,-5,C
5008820,-6,C
5008820,-7,C
5008820,-8,1
5008820,-9,0
5008820,-10,X
5008820,-11,1
5008820,-12,C
5008820,-13,C
5008820,-14,C
5008820,-15,C
5008820,-16,X
5008821,0,C
5008821,-1,1
5008821,-2,C
5008821,-3,C
5008821,-4,C
5008821,-5,0
5008821,-6,C
5008822,0,X
5008822,-1,C
5008822,-2,0
5008822,-3,C
5008822,-4,C
5008822,-5,0
5008822,-6,C
5008822,-7,X
5008822,-8,C
5008822,-9,2
5008822,-10,C
5008822,-11,X
5008822,-12,C
5008822,-13,3
5008822,-14,X
5008822,-15,C
5008822,-16,X
5008822,-17,0
5008822,-18,C
5008822,-19,X
5008823,0,C
5008823,-1,C
5008823,-2,C
5008823,-3,X
5008823,-4,C
5008823,-5,C
5008823,-6,X
5008823,-7,0
5008823,-8,X
